file,Header,Value,Notes
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet8,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet15,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet22,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet23,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet24,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet32,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet36,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet38,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet39,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet40,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet47,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet49,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet54,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet57,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet64,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet65,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet66,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet77,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet78,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet80,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet83,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet84,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet90,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet93,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet95,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet97,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet99,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet100,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet104,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet116,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet118,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet119,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet125,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet126,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet127,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet128,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet129,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet132,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet133,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet136,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet137,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet141,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet142,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet143,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet148,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet151,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet153,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet155,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet163,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet166,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet169,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet171,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet176,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet177,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet186,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet190,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet191,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet211,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet217,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet218,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet220,ValueType,WD,NA
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet2,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet2,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet3,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet4,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet7,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet8,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet15,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet22,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet23,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet24,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet30,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet33,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet37,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet38,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet46,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet50,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet53,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet58,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet59,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet64,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet68,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet69,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet70,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet71,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet74,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet75,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet76,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet82,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet85,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet88,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet91,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet92,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet96,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet98,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet108,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet109,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet114,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet115,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet116,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet117,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet120,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet121,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet124,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet125,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet129,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet130,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet136,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet137,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet139,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet141,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet142,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet149,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet155,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet168,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet172,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet173,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet196,ValueType,WD,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet197,ValueType,WD,NA
/CO/read_me.docx,DataProtected,TRUE,NA
/CO/read_me.docx,ValueType,WD,NA
/CO/CO_Manufacture_Demands_Water.xlsx$Facility metadata,Category,IN,NA
/NV/read_me.docx,DataProtected,TRUE,NA
/NV/read_me.docx,ValueType,WD,NA
/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe,DataProtected,TRUE,NA
/VT/2008_2019_ Vermont_Yearly_Large_GW_Withdrawal.xlsx$GW Withdrawal Yearly,SourceType,GW,NA
/CO/read_me.docx,Category,IN,NA
/WI/WI hicap WU reporting 2017 QC data 20210114 .xlsx$2017_WI_QC_WU active PREP,Units_monthly,gallons,NA
/WI/WDNR monthly water use data 2010-2020 retrieved 05272021.xlsx$WaterUseData,Units_monthly,gallons,NA
/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe,Units_monthly,mgd,NA
/CO/read_me.docx,Method_monthly,Estimated,NA
/WI/WI hicap WU reporting 2017 QC data 20210114 .xlsx$2017_WI_QC_WU active PREP,Units_annual_reported,gallons,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2000,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2001,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2002,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2003,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2004,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2005,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2006,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2007,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2008,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2009,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2010,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2011,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2012,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2013,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2014,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2015,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2016,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2017,Units_annual_reported,mgd,NA
/MA/2. Water Usage by Facility_2000-2018.xlsx$2018,Units_annual_reported,mgd,NA
/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$SW Intakes,Units_annual_reported,mgd,NA
/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$GW Wells,Units_annual_reported,mgd,NA
/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points,Units_annual_reported,mgd,NA
/CO/read_me.docx,Method_annual_reported,Estimated,NA
/CO/CO_Manufacture_Demands_Water.xlsx$Western Sugar (Fort Morgan),FacilityName,western sugar cooperative,NA
/MA/3.2 Water Withrawal by Sources_2018.xlsx$Sheet108,BasinName1,,Cell is left blank in source 
/MA/3.1 Water Withdrawal by Sources_2017.xlsx$Sheet116,BasinName1,,Cell is left blank in source 
"/NV/4-G PROPERTIES,LTD.xls$2016",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2015",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2014",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2013",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2012",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2011",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2010",Units_monthly,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2016",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2015",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2014",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2013",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2012",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2011",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2010",Units_annual_reported,mgd,NA
"/NV/4-G PROPERTIES,LTD.xls$2016",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2015",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2014",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2013",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2012",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2011",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2010",Method_monthly,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2016",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2015",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2014",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2013",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2012",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2011",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2010",Method_annual_reported,Metered,NA
"/NV/4-G PROPERTIES,LTD.xls$2016",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2015",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2014",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2013",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2012",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2011",FacilityName,4-G PROPERTIES. LTD,NA
"/NV/4-G PROPERTIES,LTD.xls$2010",FacilityName,4-G PROPERTIES. LTD,NA
/NV/withdrawal_reports/ALCOA.xls$2015,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2014,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2013,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2012,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2011,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2010,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2009,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2008,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2007,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2006,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2005,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2004,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2003,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALCOA.xls$2002,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2018,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2017,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2016,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2015,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2014,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2013,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2012,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2011,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2010,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2009,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2008,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2007,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2006,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2005,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2004,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2003,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2002,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2001,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$2000,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$1999,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$1998,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$1997,Units_monthly,mgd,NA
/NV/withdrawal_reports/ALLIED BUILDING MATERIALS.xls$1996,Units_monthly,mgd,NA
/NV/withdrawal_reports/ASIAN UNION ELECTRIC CHEMICAL CORP..xlsx$2016,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2015,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2014,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2013,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2012,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2011,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2010,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2006,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2005,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2004,Units_monthly,mgd,NA
/NV/withdrawal_reports/ATOMIC LIQUOR.xlsx$2003,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2016,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2015,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2014,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2013,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2012,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2011,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2010,Units_monthly,mgd,NA
/NV/withdrawal_reports/BAKER HUGHES.xls$2009,Units_monthly,mgd,NA
