header,original_value,new_value
Category,irrigation,AG
Category,Thermoelectric Power,TE
Units_monthly,gallons,gal
Method_monthly,Elapsed-Time Meter,Metered
Method_monthly,Water Meter,NA_character_
Method_monthly,NULL,NA_character_
Method_monthly,Flow Metered,Metered
Method_monthly,Others,NA_character_
Method_monthly,Calculated,Estimated
Method_annual_reported,Elapsed-Time Meter,Metered
Method_annual_reported,Water Meter,Metered
Method_annual_reported,NULL,NA_character_
Method_annual_reported,Flow Metered,Metered
Method_annual_reported,Others,NA_character_
Method_annual_reported,Calculated,Estimated
SourceType,OW,SW
SourceType,TOT_GW_VA,GW
SourceType,TOT_SW_VA,SW
Category,CII,IN
Category,0,NA_character_
Units_monthly,GPD,gal per day
Units_annual_reported,GPD,gal per day
