"IN","/IN/Fac_2020_2022.xlsx$Fac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/Fac1985_2020uniqueplus76wu_z6l.xlsx$Fac1985_2020uniqueplus76wu_z6l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/Facs.xlsx$Facs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/Facs_IN.xlsx$Facs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IDNR_Data1985_2017/IDNR_Data1985_2017/Sources.xlsx$Sources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IDNR_Data1985_2017/IDNR_Data1985_2017/WU.xlsx$WU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IN_IN.xlsx$WU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IN_IN.xlsx$Sources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IN_Sources.xlsx$Sources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/IN_WU.xlsx$WU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/README_Indiana2.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/Sources.xlsx$Sources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/Water withdrawal metadata_data explanation.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/WU_2020_2022.xlsx$WU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN","/IN/WU1985_2020E.xlsx$WU1985_2020E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH","/OH/Ohio Water 2018 - Copy_Shaffer1.accdb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH","/OH/Ohio Water 2018_20200710.accdb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH","/OH/Ohio Water 2018_Shaffer.xlsx$GW Total All Years ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH","/OH/Ohio Water 2018_Shaffer.xlsx$SW Total All Years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH","/OH/read_me.docx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UT","/UT/UT_all_WU.xlsx$system_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UT","/UT/UT_all_WU.xlsx$source_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UT","/UT/UT_IN_WU.xlsx$source_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/annual_manu_2000-2019_export.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/read_me.docx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_discharge_facility.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_discharge_site.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_discharge_water_quantity.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_withdrawal_facility.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_withdrawal_site.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VA","/VA/VDEQ_WUDR_ConsUse/VDEQ_WUDR_ConsUse_withdrawal_water_quantity.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/[EXTERNAL]_WV_LQU_Data/WVLQU Data Key.xlsx$WV LQU Data Key",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/[EXTERNAL]_WV_LQU_Data/WVLQU_2019_USGS.xlsx$WVLQU_2019_USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/confidentiality agreement lovelace usgs.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/Re__[External]__industrial_water-use_data_for_West_Virginia/confidentiality agreement lovelace usgs.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/Re__[External]__industrial_water-use_data_for_West_Virginia/WV60CSR7 NDA.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/WV_IN_WU.xlsx$WVLQU_2019_USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/WV_IN_WU.xlsx$WV_IN_WU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/WV_IN_WU.xlsx$WV_IN_facility_list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/WV_IN_WU.xlsx$notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WV","/WV/WVLQU Data Key.xlsx$WV LQU Data Key",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN","/TN/2006_WITHDRAWALS.xlsx$_2006_WITHDRAWALS","","~FILENAME~","","","","","","","WWR_ID","","","W_SRC_NAME","","","W_SRC_ID","WWR_ID+W_SRC_ID","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","","","","","","","","","","","","","","","W_SRC_TOTAL","","",""
"TN","/TN/2007 WITHDRAWALS.xlsx$_2007_WITHDRAWALS","","~FILENAME~","","","","","","","WWR_ID","","","W_SRC_NAME","","","W_SRC_ID","WWR_ID+W_SRC_ID","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","","","","","","","","","","","","","","","W_SRC_TOTAL","","",""
"TN","/TN/2008 WITHDRAWALS.xlsx$_2008_WITHDRAWALS","","~FILENAME~","","","","","","","WWR_ID","","","W_SRC_NAME","","","W_SRC_ID","WWR_ID+W_SRC_ID","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","","","","","","","","","","","","","","","W_SRC_TOTAL","","",""
"TN","/TN/Email-2024-06-06_TN Water-Use Data Crosswalk.pdf","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","text"
"TN","/TN/Individual permits and SIC codes_TDEC.xlsx$Individual sites","","","","Class","","Site","","","","Permit_No","","","Stream","","","","","","SIC","","Hydrocode","","","","","Watershed","","","EFO Name","County","","","","","","","","Latitude","Longitude","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/Individual permits and SIC codes_TDEC.xlsx$SIC Codes for individual permit","","","","","","Permittee","Project Name","","","Permit No","","","Stream","","","","","","SIC","Effluent","","","","","","","","","EFO Name","County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2009-2019.xlsx$09-19 Discharges","","~FILENAME~","","","","","","","WWR_ID","","","","","","D_TARGET_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","D_JAN","D_FEB","D_MAR","D_APR","D_MAY","D_JUN","D_JUL","D_AUG","D_SEP","D_OCT","D_NOV","D_DEC","","","","","",""
"TN","/TN/WW_Info 2009-2019.xlsx$09-19 Withdrawals","","~FILENAME~","","","","","","","WWR_ID","","","","","","W_SRC_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","W_JAN","W_FEB","W_MAR","W_APR","W_MAY","W_JUN","W_JUL","W_AUG","W_SEP","W_OCT","W_NOV","W_DEC","","","","","",""
"TN","/TN/WW_Info 2009-2019.xlsx$Discharge_Sites","","~FILENAME~","D_TARGET","","","","","","WWR_ID","","","D_TARGET_NAME","","","D_TARGET_ID","D_NPDS_NUM","","","","","","","","","","","","","","D_COUNTY","","","","","","","","D_TARGET_LAT_DD","D_TARGET_LONG_DD","D_refer","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2009-2019.xlsx$WW_Master","","","","TYPE","","USER_NAME","","","WWR_ID","PWS_ID","","","","","","","","","","","","","","","","","","USER_STREET","USER_CITY","COUNTY","USER_STATE","USER_ZIP","LOCA_STREET","LOCA_CITY","COUNTY_LOCA","LOCA_STATE","LOCA_ZIP","","","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2009-2019.xlsx$WW_Sites","","~FILENAME~","W_SRC_TYPE","","","","","","WWR_ID","","","W_SRC_NAME","","","W_SRC_ID","","","","","","","","","","","","","","","W_COUNTY","","","","","","","","W_SRC_LAT_DD","W_SRC_LONG_DD","W_refer","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2009-2019_kem.xlsx$industrial","","","","TYPE","","USER_NAME","","","WWR_ID","PWS_ID","","","","","","","","Primary US NAICS Code","Real SIC code","","","","","","","","","USER_STREET","USER_CITY","COUNTY","USER_STATE","USER_ZIP","LOCA_STREET","LOCA_CITY","COUNTY_LOCA","LOCA_STATE","LOCA_ZIP","","","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2020.xlsx$20 Discharge","","~FILENAME~","","","","","","","WWR_ID","","","","","","D_TARGET_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","","","","",""
"TN","/TN/WW_Info 2020.xlsx$20 Withdrawal","","~FILENAME~","","","","","","","WWR_ID","","","","","","W_SRC_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","","","","",""
"TN","/TN/WW_Info 2020.xlsx$Discharge_Sites","","~FILENAME~","D_TARGET","","","","","","WWR_ID","","","D_TARGET_NAME","","","D_TARGET_ID","","","","","","","","","","","","","","","D_COUNTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2020.xlsx$WW_Master","","","","TYPE","","USER_NAME","","","WWR_ID","PWS_ID","","","","","","","","","","","","","","","","","","USER_STREET","USER_CITY","COUNTY","USER_STATE","USER_ZIP","LOCA_STREET","LOCA_CITY","COUNTY_LOCA","LOCA_STATE","LOCA_ZIP","","","","","","","","","","","","","","","","","","","","","","",""
"TN","/TN/WW_Info 2020.xlsx$WW_Sites","","~FILENAME~","W_SRC_TYPE","","","","","","WWR_ID","","","W_SRC_NAME","","","W_SRC_ID","","","","","","","","","","","","","","","W_COUNTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SD","/SD/read_me.docx","yes","text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SD","/SD/SD_IN_WU_2010_2019_LDM.xlsx$Culled_IND_FacilityList","","","","WATER USE","","FACILITY","","","PERMIT NO","","","","","","","","","NAICS","SIC","REMARKS","","","","","","","","ADDRESS","CITY/STATE","","","ZIP CODE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
